,id,standard_spelling_isv,isv,addition,partOfSpeech,type,en,sameInLanguages,genesis,ru,be,uk,pl,cs,sk,sl,hr,sr,mk,bg,cu,de,nl,eo,frequency,intelligibility,using_example
0,4743,Afrika,Afrika,,f.sg.,1,Africa,v z j,,Африка,Афрыка,Африка,Afryka,Afrika,Afrika,Afrika,Afrika,Африка,Африка,Африка,!,Afrika,Afrika,Afriko,6546,!,
1,6134,aktor,aktor,,m.anim.,1,actor,v pl bm,I,актёр,"акцёр, актор (тарашк.)",актор,aktor,herec,herec,igralec,glumac,глумац,актер,актьор,лицедѣй,Darsteller,acteur,aktoro,7235,!,
2,20330,akula,akula,,f.,1,shark,v sh bm,,акула,акула,акула,rekin,žralok,žralok,morski pes,morski pas,ајкула,ајкула,акула,!,Hai,haai,ŝarko,6423,!,
3,24281,almaz,almaz,,m.,2,diamond,v,,алмаз,"алмаз, дыямант",алмаз,diament,diamant,diamant,diamant,dijamant,дијамант,дијамант,диамант,"адамантъ, нековъ",Diamant,diamant,diamanto,5931,!,
4,131,Amerika,Amerika,,f.sg.,1,America,v z j,,Америка,"Амерыка, Амэрыка (тарашк.)",Америка,Ameryka,Amerika,Amerika,Amerika,Amerika,Америка,Америка,Америка,Амѣрїка,Amerika,Amerika,Ameriko,7324,!,
5,136,Amerikanec,#Amerikanėc,,m.anim.,1,American,v z j,,американец,"амерыканец, амэрыканец (тарашк.)",американець,Amerykanin,Američan,Američan,Američan,Amerikanac,Американац,Американец,американец,!,Amerikaner,Amerikaan,"amerikano, usonano",6549,!,
6,229,angel,angel,,m.anim.,1,angel,,I,ангел,анёл,"янгол, ангел",anioł,anděl,anjel,angel,anđeo,анђео,ангел,ангел,"анѣелъ, ангелъ, агглъ",Engel,engel,anĝelo,6868,!,
7,35052,Anglija,Anglija,,f.sg.,1,England,v z j,,Англия,"Англія, Ангельшчына",Англія,Anglia,Anglie,Anglicko,Anglija,Engleska,Енглеска,Англија,Англия,!,England,Engeland,"Anglio, Anglujo",6978,!,
8,33,artist,artist,,m.anim.,1,artist,,I,"художник, артист","мастак, артыст","митець, артист, художник",artysta,umělec,umelec,umetnik,umjetnik,уметник,"артист, уметник, изведувач","художник, музикант, артист",!,Künstler,"kunstenaar, artiest",artisto,6658,!,
9,70,Avstralija,Avstralija,,f.sg.,1,Australia,,,Австралия,Аўстралія,Австралія,Australia,Austrálie,Austrália,Avstralija,Australija,Аустралија,Австралија,Австралия,!,Australien,Australië,Aŭstralio,6871,!,
10,82,avtobus,avtobus,,m.,1,bus,,I,автобус,аўтобус,автобус,autobus,autobus,autobus,avtobus,autobus,аутобус,автобус,автобус,!,"Bus, Autobus","bus, autobus",aŭtobuso,7265,!,
11,92,Azija,Azija,,f.sg.,1,Asia,v z j,,Азия,Азія,Азія,Azja,Asie,Ázia,Azija,Azija,Азија,Азија,Азия,А̑си́а,Asien,Azië,Azio,6429,!,
